tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-9835,Parma,Clay,32,C,O,20260615,15,DG80,,,Enrico Dalla Valle,R,196,ITA,28.235,476,91,WB19,,,Alexander Weis,R,188,ITA,29.142,608,59,6-2 6-3,3,R32,84,1,1,57,42,32,8,9,1,1,2,2,51,34,22,6,8,1,4
2026-9835,Parma,Clay,32,C,O,20260615,16,V0J1,,,Jacopo Vasami,L,193,ITA,18.489,461,95,S0O6,,,Ilia Simakin,R,193,RUS,22.634,245,231,6-3 6-4,3,R32,89,8,6,85,49,36,18,10,6,7,2,3,50,22,15,15,9,2,5
2026-9835,Parma,Clay,32,C,O,20260615,17,O513,4,,Sebastian Ofner,R,191,AUT,30.092,86,681,DG80,,,Enrico Dalla Valle,R,196,ITA,28.235,476,91,6-2 7-5,3,R16,90,7,4,69,34,30,16,10,1,1,3,4,58,30,21,15,10,4,7
2026-9835,Parma,Clay,32,C,O,20260615,18,CF59,,,Roberto Carballes Baena,R,183,ESP,33.229,199,292,TA12,5,,Stefano Travaglia,R,185,ITA,34.464,140,444,6-1 6-7(5) 6-3,3,R16,172,2,2,103,70,47,14,15,7,10,6,2,75,30,22,18,13,1,7
2026-9835,Parma,Clay,32,C,O,20260615,19,CF01,8,,Marco Cecchinato,R,185,ITA,33.706,182,329,B0PE,,,Federico Bondioli,L,185,ITA,21.081,342,149,6-2 6-3,3,R16,72,3,3,44,26,23,13,9,0,0,5,6,59,34,23,9,8,6,9
2026-9835,Parma,Clay,32,C,O,20260615,20,DB63,,,Laslo Djere,R,188,SRB,31.036,279,187,S0DL,,,Ryan Seggerman,R,193,USA,26.858,1042,14,4-6 6-1 7-6(4),3,R16,128,2,3,95,56,43,23,15,6,7,7,6,79,42,33,22,14,0,2
2026-9835,Parma,Clay,32,C,O,20260615,21,T0AP,,,Chun-Hsin Tseng,R,175,TPE,24.851,169,366,RB60,,,Oriol Roca Batalla,R,175,ESP,33.125,426,107,6-2 7-6(1),3,R16,121,1,0,95,70,45,14,10,11,12,3,1,55,31,20,12,10,0,3
2026-9835,Parma,Clay,32,C,O,20260615,22,V0DZ,2,,Luca Van Assche,R,178,FRA,22.094,97,636,GE33,,,Daniel Elahi Galan,R,191,COL,29.99,270,200,6-1 6-3,3,R16,84,1,1,47,25,15,17,8,5,6,2,1,42,23,11,7,8,2,7
2026-9835,Parma,Clay,32,C,O,20260615,23,G0CV,,,Buvaysar Gadamauri,R,180,BEL,25.93,280,187,V0J1,,,Jacopo Vasami,L,193,ITA,18.489,461,95,6-4 7-6(1),3,R16,96,3,2,66,45,37,12,11,0,1,6,5,67,37,26,17,11,1,3
2026-9835,Parma,Clay,32,C,O,20260615,24,R0FP,,,Daniel Rincon,L,185,ESP,23.436,314,164,N679,,,Stefano Napolitano,R,196,ITA,31.179,246,230,6-2 3-1 RET,3,R16,76,2,1,41,22,15,9,6,1,3,0,6,46,27,14,5,6,4,9
2026-9835,Parma,Clay,32,C,O,20260615,25,O513,4,,Sebastian Ofner,R,191,AUT,30.092,86,681,CF59,,,Roberto Carballes Baena,R,183,ESP,33.229,199,292,4-6 6-3 6-3,3,QF,139,3,10,92,45,33,27,14,6,8,4,3,89,65,38,15,14,7,11
2026-9835,Parma,Clay,32,C,O,20260615,26,V0DZ,2,,Luca Van Assche,R,178,FRA,22.094,97,636,CF01,8,,Marco Cecchinato,R,185,ITA,33.706,182,329,3-6 6-0 6-1,3,QF,123,3,8,72,36,30,18,11,8,9,0,7,69,33,18,16,11,1,6
2026-9835,Parma,Clay,32,C,O,20260615,27,DB63,,,Laslo Djere,R,188,SRB,31.036,279,187,T0AP,,,Chun-Hsin Tseng,R,175,TPE,24.851,169,366,6-3 4-6 6-4,3,QF,140,7,2,88,48,33,19,15,1,5,0,1,88,63,38,13,14,6,11
2026-9835,Parma,Clay,32,C,O,20260615,28,R0FP,,,Daniel Rincon,L,185,ESP,23.436,314,164,G0CV,,,Buvaysar Gadamauri,R,180,BEL,25.93,280,187,6-7(3) 6-3 6-1,3,QF,148,5,0,85,46,37,23,14,3,5,0,7,99,66,41,14,14,7,13
